energy,date
122893,12/28/2018
126253,12/29/2018
131722,12/30/2018
131786,12/31/2018
92359,1/1/2019
88642,1/2/2019
113999,1/3/2019
97261,1/4/2019
97097,1/5/2019
96679,1/6/2019
96137,1/7/2019
103771,1/8/2019
107608,1/9/2019
99211,1/10/2019
101007,1/11/2019
92971,1/12/2019
93084,1/13/2019
92419,1/14/2019
107174,1/15/2019
119193,1/16/2019
118130,1/17/2019
132876,1/18/2019
140894,1/19/2019
145964,1/20/2019
139419,1/21/2019
152273,1/22/2019
152352,1/23/2019
124934,1/24/2019
124191,1/25/2019
112322,1/26/2019
104383,1/27/2019
90759,1/28/2019
100138,1/29/2019
91516,1/30/2019
126283,1/31/2019
157898,2/1/2019
172295,2/2/2019
189486,2/3/2019
195974,2/4/2019
200721,2/5/2019
193346,2/6/2019
127384,2/7/2019
115426,2/8/2019
137602,2/9/2019
174712,2/10/2019
146501,2/11/2019
135414,2/12/2019
125985,2/13/2019
123321,2/14/2019
121002,2/15/2019
119204,2/16/2019
131675,2/17/2019
133740,2/18/2019
116201,2/19/2019
135744,2/20/2019
141477,2/21/2019
157558,2/22/2019
145816,2/23/2019
163393,2/24/2019
160944,2/25/2019
154201,2/26/2019
160220,2/27/2019
173493,2/28/2019
160009,3/1/2019
158890,3/2/2019
164039,3/3/2019
158142,3/4/2019
160784,3/5/2019
165549,3/6/2019
144764,3/7/2019
129442,3/8/2019
151731,3/9/2019
157219,3/10/2019
150732,3/11/2019
147279,3/12/2019
138385,3/13/2019
129183,3/14/2019
127212,3/15/2019
131060,3/16/2019
104448,3/17/2019
144511,3/18/2019
117055,3/19/2019
107184,3/20/2019
110602,3/21/2019
112657,3/22/2019
106581,3/23/2019
104171,3/24/2019
109703,3/25/2019
109223,3/26/2019
114857,3/27/2019
115729,3/28/2019
110688,3/29/2019
100138,3/30/2019
70196,3/31/2019
71256,4/1/2019
74470,4/2/2019
78034,4/3/2019
73737,4/4/2019
76429,4/5/2019
68627,4/6/2019
76061,4/7/2019
78209,4/8/2019
92451,4/9/2019
98897,4/10/2019
92837,4/11/2019
112811,4/12/2019
113580,4/13/2019
105340,4/14/2019
122559,4/15/2019
136840,4/16/2019
151054,4/17/2019
162085,4/18/2019
144743,4/19/2019
157493,4/20/2019
160634,4/21/2019
125779,4/22/2019
73065,4/23/2019
70055,4/24/2019
71141,4/25/2019
77689,4/26/2019
67999,4/27/2019
66997,4/28/2019
67262,4/29/2019
73113,4/30/2019
69808,5/1/2019
67933,5/2/2019
68711,5/3/2019
71045,5/4/2019
72436,5/5/2019
73369,5/6/2019
68316,5/7/2019
72835,5/8/2019
71961,5/9/2019
78204,5/10/2019
64388,5/11/2019
77120,5/12/2019
79791,5/13/2019
70593,5/14/2019
80649,5/15/2019
81036,5/16/2019
79739,5/17/2019
76576,5/18/2019
82501,5/19/2019
75610,5/20/2019
82323,5/21/2019
79777,5/22/2019
72929,5/23/2019
73168,5/24/2019
71706,5/25/2019
79605,5/26/2019
71065,5/27/2019
88036,5/28/2019
90208,5/29/2019
91979,5/30/2019
80886,5/31/2019
97884,6/1/2019
80798,6/2/2019
71145,6/3/2019
70808,6/4/2019
73960,6/5/2019
72468,6/6/2019
71722,6/7/2019
70977,6/8/2019
72384,6/9/2019
79181,6/10/2019
85978,6/11/2019
87621,6/12/2019
74711,6/13/2019
87144,6/14/2019
92933,6/15/2019
84224,6/16/2019
84884,6/17/2019
80886,6/18/2019
80523,6/19/2019
80161,6/20/2019
82520,6/21/2019
82515,6/22/2019
81984,6/23/2019
71553,6/24/2019
87144,6/25/2019
87119,6/26/2019
72662,6/27/2019
75982,6/28/2019
70198,6/29/2019
65388,6/30/2019
59329,7/1/2019
60070,7/2/2019
58734,7/3/2019
58613,7/4/2019
57866,7/5/2019
56849,7/6/2019
57293,7/7/2019
58248,7/8/2019
60157,7/9/2019
58987,7/10/2019
61013,7/11/2019
63406,7/12/2019
61779,7/13/2019
60652,7/14/2019
63978,7/15/2019
62324,7/16/2019
59110,7/17/2019
60122,7/18/2019
62312,7/19/2019
62084,7/20/2019
63327,7/21/2019
61713,7/22/2019
65391,7/23/2019
66127,7/24/2019
61346,7/25/2019
63230,7/26/2019
60877,7/27/2019
56534,7/28/2019
57857,7/29/2019
56828,7/30/2019
58896,7/31/2019
57221,8/1/2019
57408,8/2/2019
56334,8/3/2019
57858,8/4/2019
58750,8/5/2019
56903,8/6/2019
57736,8/7/2019
58115,8/8/2019
59062,8/9/2019
57907,8/10/2019
57848,8/11/2019
57611,8/12/2019
57570,8/13/2019
60008,8/14/2019
58856,8/15/2019
57471,8/16/2019
56478,8/17/2019
59107,8/18/2019
61919,8/19/2019
59119,8/20/2019
58583,8/21/2019
57954,8/22/2019
57824,8/23/2019
56973,8/24/2019
56622,8/25/2019
58965,8/26/2019
59698,8/27/2019
59837,8/28/2019
58319,8/29/2019
56801,8/30/2019
55988,8/31/2019
56323,9/1/2019
55723,9/2/2019
57080,9/3/2019
58532,9/4/2019
56184,9/5/2019
54831,9/6/2019
54700,9/7/2019
54230,9/8/2019
54829,9/9/2019
56521,9/10/2019
58613,9/11/2019
59016,9/12/2019
56391,9/13/2019
58490,9/14/2019
58248,9/15/2019
58081,9/16/2019
58888,9/17/2019
60158,9/18/2019
59489,9/19/2019
56606,9/20/2019
58654,9/21/2019
54317,9/22/2019
56580,9/23/2019
57805,9/24/2019
58855,9/25/2019
55874,9/26/2019
59146,9/27/2019
60702,9/28/2019
62569,9/29/2019
62940,9/30/2019
60256,10/1/2019
59860,10/2/2019
59473,10/3/2019
58321,10/4/2019
55919,10/5/2019
57286,10/6/2019
58812,10/7/2019
59754,10/8/2019
61059,10/9/2019
61417,10/10/2019
59273,10/11/2019
58679,10/12/2019
58500,10/13/2019
59369,10/14/2019
61103,10/15/2019
59151,10/16/2019
57899,10/17/2019
61285,10/18/2019
59586,10/19/2019
60089,10/20/2019
62668,10/21/2019
66243,10/22/2019
69096,10/23/2019
68943,10/24/2019
71137,10/25/2019
72273,10/26/2019
72676,10/27/2019
73553,10/28/2019
73347,10/29/2019
70000,10/30/2019
61982,10/31/2019
65514,11/1/2019
65586,11/2/2019
65631,11/3/2019
67987,11/4/2019
72057,11/5/2019
68512,11/6/2019
69259,11/7/2019
70676,11/8/2019
70804,11/9/2019
69341,11/10/2019
72156,11/11/2019
71949,11/12/2019
74783,11/13/2019
75795,11/14/2019
75913,11/15/2019
78500,11/16/2019
76815,11/17/2019
76747,11/18/2019
